,pH,Sodium,Magnesium,Calcium,Chloride,Potassium,Carbonate,Sulphate,TDS,EC,TH,WQI,label
236,8.47,41.72,11.13,0.0,91.46,5.49,127.87,96.33,0.0,711.5,212.43,36.59,0
237,8.47,41.72,0.0,0.0,84.23,5.49,130.51,98.69,0.0,705.5,212.43,34.48,0
238,8.25,41.72,97.25,0.0,87.46,5.49,140.74,97.88,0.0,717.2,212.43,52.57,0
239,8.19,62.0,18.75,0.0,83.52,8.1,143.24,94.17,0.0,733.0,248.86,42.25,0
240,8.42,70.64,27.77,0.0,86.17,8.92,144.92,94.86,0.0,738.6,248.86,45.32,0
241,8.41,60.58,35.42,0.0,87.15,10.76,133.13,81.51,0.0,733.7,213.65,45.8,0
242,8.32,66.85,10.0,0.0,85.0,9.14,137.78,87.7,0.0,773.2,188.13,39.85,0
243,8.32,66.85,10.0,0.0,85.0,9.14,137.78,87.7,0.0,773.2,188.13,39.85,0
244,8.57,58.7,10.0,0.0,84.57,8.43,133.09,76.05,0.0,782.8,192.23,38.91,0
245,8.24,74.64,10.0,0.0,85.66,11.06,156.82,20.0,0.0,736.2,155.79,40.06,0
246,8.63,64.29,129.0,0.0,84.92,11.13,122.85,83.07,0.0,622.5,166.01,60.92,0
247,8.43,87.46,119.75,0.0,65.82,5.45,113.1,58.46,0.0,578.0,150.35,53.62,0
248,8.44,61.52,123.6,0.0,69.77,7.89,191.27,65.39,0.0,707.8,158.61,59.75,0
249,8.79,61.52,65.0,0.0,65.88,7.89,185.46,73.04,0.0,621.5,164.77,48.9,0
250,7.09,61.52,44.0,0.0,65.88,7.89,109.0,73.04,0.0,498.8,156.0,39.09,0
251,7.98,61.52,14.0,0.0,50.0,5.4,136.0,53.0,0.0,534.0,185.0,34.03,0
252,8.41,42.0,100.0,0.0,55.0,6.0,123.0,53.0,0.0,540.0,174.0,48.9,0
253,8.11,46.0,50.0,0.0,61.0,6.3,117.0,70.0,0.0,571.6,174.0,40.32,0
254,8.13,54.0,48.0,0.0,64.0,7.5,120.0,68.0,0.0,612.0,139.0,40.6,0
255,7.94,52.0,2.4,0.0,66.0,7.9,121.0,72.0,0.0,620.7,189.0,34.08,0
256,8.33,60.0,81.0,0.0,80.0,7.8,113.0,78.0,0.0,606.4,121.0,47.06,0
257,7.02,18.0,6.1,0.0,19.0,5.0,16.0,23.0,0.0,265.1,65.0,17.4,0
258,7.35,20.0,8.1,0.0,28.0,5.0,62.0,38.0,0.0,313.5,88.0,21.76,0
